"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"FAIM3"	1.65198055031705e-10	0.294227400542773	0.707	0.603	4.38815593580719e-06	"0"	"FAIM3"
"FOXP3"	2.05680812322694e-09	0.44187540817424	0.555	0.358	5.46349941772771e-05	"0"	"FOXP3"
"RTKN2"	2.14514257691862e-09	0.531063598386672	0.415	0.268	5.69814222706894e-05	"0"	"RTKN2"
"UGP2"	1.23108324638193e-05	0.330253086679558	0.481	0.4	0.327012642736432	"0"	"UGP2"
"TBC1D4"	1.97093891989611e-05	0.256948422336221	0.56	0.471	0.523540505292004	"0"	"TBC1D4"
"FCRL3"	0.000223811523534913	0.323812190632946	0.33	0.245	1	"0"	"FCRL3"
"TTN"	0.000648287112602585	0.314751763676447	0.47	0.388	1	"0"	"TTN"
"LAYN"	0.00116206642224789	0.382376927335909	0.262	0.191	1	"0"	"LAYN"
"SPDYE6"	0.00283416399723968	0.255090685128556	0.422	0.365	1	"0"	"SPDYE6"
"CCM2"	0.0046508272922485	0.272114778924005	0.355	0.294	1	"0"	"CCM2"
"ADAT2"	0.00541133450202902	0.345727246593376	0.25	0.195	1	"0"	"ADAT2"
"FKBP5"	1.27130371507214e-31	0.899303801067868	0.761	0.383	3.37696405834613e-27	"1"	"FKBP5"
"YWHAQ"	3.0231290581213e-27	0.802801759543994	0.777	0.424	8.03033771708762e-23	"1"	"YWHAQ"
"CXCL13"	3.8387285888337e-26	1.14406400701122	0.492	0.19	1.0196814750519e-21	"1"	"CXCL13"
"CD40LG"	1.22199604690519e-25	1.08966715873689	0.414	0.129	3.24598809939427e-21	"1"	"CD40LG"
"TNFSF8"	2.56676588864145e-25	1.02780314924784	0.463	0.157	6.81810022999828e-21	"1"	"TNFSF8"
"PDCD1"	1.47491843965293e-23	0.823454088639972	0.702	0.362	3.91782585125009e-19	"1"	"PDCD1"
"LRMP"	2.9107135219896e-19	0.896128691309986	0.408	0.157	7.73172832846097e-15	"1"	"LRMP"
