"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"XIST"	1.56224968910166e-19	-1.25974307144311	0.048	0.352	4.14980384916074e-15
"PRDM1"	1.12584842810126e-17	-0.590723589419309	0.53	0.807	2.99059117956538e-13
"HCG4P5"	2.79018054863316e-16	0.445522401308888	0.837	0.599	7.41155659133426e-12
"KLRK1"	4.18352758735196e-16	1.16673499602411	0.215	0.054	1.1112704330283e-11
"RGS1"	1.05891358779131e-15	-0.313744792771068	0.797	0.933	2.81279216325005e-11
"TRDC"	2.08397385572883e-15	1.06392825808131	0.127	0.016	5.53565975297249e-11
"IFITM2"	3.69093849367798e-15	-0.285791953183165	0.801	0.938	9.80423992075682e-11
"STAT1"	1.10171879385402e-14	-0.532761948180116	0.53	0.771	2.92649563211443e-10
"TNFAIP3"	1.6276827704898e-14	-0.327451783871725	0.829	0.925	4.32361374325205e-10
"GBP5"	7.38320427029402e-13	-0.577790629523511	0.474	0.713	1.9612005503182e-08
"CD4"	2.14236367060215e-12	-0.44334599338511	0.614	0.823	5.69076061822049e-08
"NR4A2"	4.4190109851849e-12	0.471353627724247	0.725	0.544	1.17382188799466e-07
"UBE2L6"	2.19250624572109e-11	-0.560906231134019	0.39	0.589	5.82395434050894e-07
"CHI3L2"	5.58195756110523e-11	0.796061714909304	0.131	0.028	1.48273538695638e-06
"IFI6"	7.09584938732329e-11	-0.644758336388523	0.414	0.594	1.88487047275469e-06
"EGR1"	9.27957882810798e-11	0.709145626393191	0.422	0.235	2.46493452411032e-06
"TMEM173"	1.32676111241572e-10	-0.537165080916848	0.47	0.712	3.52427554290987e-06
"PSME2P2"	2.90011108593537e-10	-0.515053820055419	0.307	0.518	7.70356507757012e-06
"PSME2"	4.19432547058184e-10	-0.444332205772702	0.51	0.703	1.11413867475065e-05
"GAPDHP1"	6.43595193457832e-10	-0.366240705124946	0.466	0.677	1.70958191238204e-05
"FCGBP"	6.97188542778485e-10	0.41023692174515	0.104	0.019	1.85194192618249e-05
"RP11-159J3.1"	7.92555961628957e-10	-0.48484932910735	0.124	0.305	2.105266400875e-05
"SYNGR2"	1.29512349884633e-09	-0.519694710116328	0.398	0.598	3.4402365499855e-05
"SLC38A2"	1.31601630381948e-09	0.524119782568663	0.637	0.426	3.49573410783569e-05
"HLA-V"	1.5009498642119e-09	-0.56437093664587	0.116	0.303	3.98697312430608e-05
"DDX3Y"	1.66637374673571e-09	0.630034108613045	0.438	0.25	4.42638858345407e-05
"EPSTI1"	2.1259714340557e-09	-0.548755824364957	0.39	0.583	5.64721792028217e-05
"ISG15"	3.19656728234998e-09	-0.609678363583656	0.311	0.497	8.49104167210625e-05
"TRGC1"	4.02151814632136e-09	0.606523058440254	0.143	0.042	0.000106823586520734
"FGFR1"	4.60848628102949e-09	0.68313338074955	0.211	0.082	0.000122415221082986
"PSMB9"	4.99292988264977e-09	-0.467349562601089	0.458	0.653	0.000132627196472826
"RP11-1100L3.8"	5.25842655480532e-09	0.683828598575362	0.327	0.168	0.000139679584575294
"CD7"	7.6814606034078e-09	-0.440386199648614	0.538	0.705	0.000204042638008321
"HSPH1"	8.02693290769528e-09	0.562018584630561	0.558	0.401	0.00021321941882711
"DUSP4"	9.98100418209551e-09	-0.353093719828816	0.614	0.8	0.000265125414089003
"ENTPD1"	1.22990707771245e-08	-0.640149241138888	0.223	0.43	0.000326700217052759
"S100A4"	1.97890213376273e-08	-0.366016579574832	0.598	0.79	0.000525655773791394
"TMEM245"	2.6302450852528e-08	0.635089893900858	0.259	0.123	0.0006986720019957
"SELPLG"	2.76572110267279e-08	-0.476699143934279	0.414	0.619	0.000734658496502974
"CDC42SE2"	2.82525956748866e-08	-0.279854512158728	0.785	0.931	0.000750473698912014
"S1PR1"	3.33438190463134e-08	0.553470020510935	0.195	0.072	0.000885711865327224
"CXCR5"	4.53544657883266e-08	0.614338303695439	0.287	0.144	0.00120475067473532
"PSMB8"	5.17447283896676e-08	-0.383388766578783	0.506	0.694	0.00137449522021474
"RPL9P7"	5.38237073331684e-08	0.296361589999339	0.689	0.581	0.00142971913789095
"HLA-DPA1"	5.53704125550556e-08	-0.492577108602332	0.394	0.586	0.00147080426869994
"RGCC"	5.86450525286797e-08	0.585739864564139	0.406	0.249	0.00155778853031932
"RPS4Y1"	6.08241127939123e-08	0.51966197912149	0.586	0.37	0.00161567090814469
"RP11-274E7.2"	6.31384088707295e-08	-0.435276654341054	0.311	0.485	0.00167714555483319
"BTG2"	6.69284946554234e-08	0.400366062692131	0.689	0.515	0.00177782160353201
